tweet_id,timestamp,source,name,jpg_url,favorite_count,retweet_count,month,year,day,stage,ratings,percentage_success_per,dog_confidence,dog_breed,tweet_url
892420643555336193,2017-08-01,Twitter for iPhone,phineas,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,33702,6976,8,2017,1,,1.3,0,"orange:0.0970486,bagel:0.0858511,banana:0.07611",orange,https://t.co/MgUWQ76dJU
892177421306343426,2017-08-01,Twitter for iPhone,tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,29231,5278,8,2017,1,,1.3,100,"Chihuahua:0.323581,Pekinese:0.0906465,papillon:0.0689569",Chihuahua,https://t.co/0Xxu71qeIV
891815181378084864,2017-07-31,Twitter for iPhone,archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,21975,3466,7,2017,31,,1.2,100,"Chihuahua:0.716012,malamute:0.078253,kelpie:0.0313789",Chihuahua,https://t.co/wUnZnhtVJB
891689557279858688,2017-07-30,Twitter for iPhone,darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,36779,7190,7,2017,30,,1.3,33,"paper_towel:0.1702779999999999,Labrador_retriever:0.1680859999999999,spatula:0.0408359",paper_towel,https://t.co/tD36da7qLQ
891327558926688256,2017-07-29,Twitter for iPhone,franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,35168,7723,7,2017,29,,1.2,100,"basset:0.555712,English_springer:0.2257699999999999,German_short-haired_pointer:0.175219",basset,https://t.co/AtUZn91f7f
891087950875897856,2017-07-29,Twitter for iPhone,none,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,17739,2586,7,2017,29,,1.3,66,"Chesapeake_Bay_retriever:0.425595,Irish_terrier:0.116317,Indian_elephant:0.0769021999999999",Chesapeake_Bay_retriever,https://t.co/kQ04fDDRmh
890971913173991426,2017-07-28,Twitter for iPhone,jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,10325,1649,7,2017,28,,1.3,66,"Appenzeller:0.341703,Border_collie:0.199287,ice_lolly:0.193548",Appenzeller,https://t.co/Zr4hWfAs1H
890729181411237888,2017-07-28,Twitter for iPhone,none,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,56643,15692,7,2017,28,,1.3,100,"Pomeranian:0.566142,Eskimo_dog:0.1784059999999999,Pembroke:0.0765069",Pomeranian,https://t.co/v0nONBcwxq
890609185150312448,2017-07-27,Twitter for iPhone,zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,24433,3605,7,2017,27,,1.3,100,"Irish_terrier:0.4875739999999999,Irish_setter:0.193054,Chesapeake_Bay_retriever:0.118184",Irish_terrier,https://t.co/9TwLuAGH0b
890240255349198849,2017-07-26,Twitter for iPhone,cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,27846,6075,7,2017,26,doggo,1.4,100,"Pembroke:0.511319,Cardigan:0.451038,Chihuahua:0.0292482",Pembroke,https://t.co/t1bfwz5S2A
890006608113172480,2017-07-26,Twitter for iPhone,koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,26954,6119,7,2017,26,,1.3,100,"Samoyed:0.957979,Pomeranian:0.0138835,chow:0.00816748",Samoyed,https://t.co/dVPW0B0Mme
889880896479866881,2017-07-25,Twitter for iPhone,bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,24496,4142,7,2017,25,,1.3,66,"French_bulldog:0.377417,Labrador_retriever:0.151317,muzzle:0.0829811",French_bulldog,https://t.co/u1XPQMl29g
889665388333682689,2017-07-25,Twitter for iPhone,none,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,41870,8309,7,2017,25,puppo,1.3,100,"Pembroke:0.966327,Cardigan:0.0273557,basenji:0.00463323",Pembroke,https://t.co/BxvuXk0UCm
889638837579907072,2017-07-25,Twitter for iPhone,ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,23576,3701,7,2017,25,,1.2,100,"French_bulldog:0.99165,boxer:0.00212864,Staffordshire_bullterrier:0.00149818",French_bulldog,https://t.co/f8dEDcrKSR
889531135344209921,2017-07-24,Twitter for iPhone,stuart,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,13307,1874,7,2017,24,puppo,1.3,100,"golden_retriever:0.953442,Labrador_retriever:0.0138341,redbone:0.00795775",golden_retriever,https://t.co/y70o6h3isq
889278841981685760,2017-07-24,Twitter for iPhone,oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,22012,4426,7,2017,24,,1.3,100,"whippet:0.626152,borzoi:0.194742,Saluki:0.0273507",whippet,https://t.co/WpHvrQedPb
888917238123831296,2017-07-23,Twitter for iPhone,jim,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,25523,3746,7,2017,23,,1.2,100,"golden_retriever:0.714719,Tibetan_mastiff:0.1201839999999999,Labrador_retriever:0.1055059999999999",golden_retriever,https://t.co/chxruIOUJN
888804989199671297,2017-07-22,Twitter for iPhone,zeke,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,22386,3517,7,2017,22,,1.3,100,"golden_retriever:0.46976,Labrador_retriever:0.184172,English_setter:0.0734817",golden_retriever,https://t.co/HTQ77yNQ5K
888554962724278272,2017-07-22,Twitter for iPhone,ralphus,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,17254,2867,7,2017,22,,1.3,100,"Siberian_husky:0.700377,Eskimo_dog:0.166511,malamute:0.111411",Siberian_husky,https://t.co/YnYAFCTTiK
888078434458587136,2017-07-20,Twitter for iPhone,gerald,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,19095,2885,7,2017,20,,1.2,100,"French_bulldog:0.995026,pug:0.000931908,bull_mastiff:0.000903211",French_bulldog,https://t.co/DK7iDPfuRX
887705289381826560,2017-07-19,Twitter for iPhone,jeffrey,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,26526,4521,7,2017,19,,1.3,100,"basset:0.821664,redbone:0.0875815,Weimaraner:0.0262364",basset,https://t.co/PhrUk20Q64
887517139158093824,2017-07-19,Twitter for iPhone,None,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,40562,9816,7,2017,19,,1.4,0,"limousine:0.130432,tow_truck:0.0291754,shopping_cart:0.0263208",limousine,https://t.co/20VrLAA8ba
887473957103951883,2017-07-19,Twitter for iPhone,canela,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,59967,14968,7,2017,19,,1.3,100,"Pembroke:0.809197,Rhodesian_ridgeback:0.05495,beagle:0.0389148",Pembroke,https://t.co/cLyzpcUcMX
887343217045368832,2017-07-18,Twitter for iPhone,none,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,29480,8785,7,2017,18,,1.3,66,"Mexican_hairless:0.330741,sea_lion:0.275645,Weimaraner:0.134203",Mexican_hairless,https://t.co/WZqNqygEyV
887101392804085760,2017-07-18,Twitter for iPhone,none,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,26886,4972,7,2017,18,,1.2,100,"Samoyed:0.733942,Eskimo_dog:0.0350295,Staffordshire_bullterrier:0.0297047",Samoyed,https://t.co/4Ad1jzJSdp
886983233522544640,2017-07-17,Twitter for iPhone,maya,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,30253,6291,7,2017,17,,1.3,66,"Chihuahua:0.793469,toy_terrier:0.143528,can_opener:0.0322529",Chihuahua,https://t.co/I6oNy0CgiT
886736880519319552,2017-07-16,Twitter for iPhone,mingus,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,10461,2619,7,2017,16,,1.3,100,"kuvasz:0.309706,Great_Pyrenees:0.186136,Dandie_Dinmont:0.0863463",kuvasz,https://t.co/bVi0Yr4Cff
886680336477933568,2017-07-16,Twitter for iPhone,derek,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,19655,3723,7,2017,16,,1.3,0,"convertible:0.738995,sports_car:0.139952,car_wheel:0.0441726999999999",convertible,https://t.co/BCoWue0abA
886366144734445568,2017-07-15,Twitter for iPhone,roscoe,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,18495,2613,7,2017,15,pupper,1.2,100,"French_bulldog:0.999201,Chihuahua:0.000361178,Boston_bull:7.55616e-05",Boston_bull,https://t.co/RGE08MIJox
886258384151887873,2017-07-15,Twitter for iPhone,waffles,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,24445,5258,7,2017,15,,1.3,33,"pug:0.943575,shower_cap:0.0252856,Siamese_cat:0.00284892",pug,https://t.co/xZDA9Qsq1O
885984800019947520,2017-07-14,Twitter for iPhone,jimbo,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,28493,5590,7,2017,14,,1.2,100,"Blenheim_spaniel:0.972494,Shih-Tzu:0.00663012,Bernese_mountain_dog:0.00623915",Blenheim_spaniel,https://t.co/BuveP0uMF1
885528943205470208,2017-07-13,Twitter for iPhone,maisey,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,31494,5308,7,2017,13,,1.3,100,"pug:0.369275,Labrador_retriever:0.265835,kuvasz:0.134697",pug,https://t.co/tp1kQ8i9JF
885311592912609280,2017-07-13,Twitter for iPhone,lilly,https://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg,0,15378,7,2017,13,,1.3,66,"Labrador_retriever:0.908703,seat_belt:0.0570909,pug:0.0119335",Labrador_retriever,https://t.co/SATN4If5H5
885167619883638784,2017-07-12,Twitter for iPhone,none,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,19188,3654,7,2017,12,,1.3,100,"malamute:0.8124819999999999,Siberian_husky:0.0717125,Eskimo_dog:0.0557697",malamute,https://t.co/44ItaMubBf
884925521741709313,2017-07-12,Twitter for iPhone,earl,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,66952,14953,7,2017,12,,1.2,100,"Italian_greyhound:0.259916,American_Staffordshire_terrier:0.198451,Staffordshire_bullterrier:0.127725",Italian_greyhound,https://t.co/MYJvdlNRVa
884876753390489601,2017-07-11,Twitter for iPhone,lola,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,24295,4644,7,2017,11,,1.3,100,"chow:0.822103,Norwich_terrier:0.106075,Norfolk_terrier:0.0373485",chow,https://t.co/74TKAUsLkO
884562892145688576,2017-07-11,Twitter for iPhone,kevin,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,21240,3896,7,2017,11,,1.3,100,"pug:0.5464060000000001,French_bulldog:0.404291,Brabancon_griffon:0.0440019",pug,https://t.co/1r4MFCbCX5
884441805382717440,2017-07-10,Twitter for iPhone,none,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,23790,4780,7,2017,10,,1.4,100,"Pembroke:0.993225,Cardigan:0.00321648,Chihuahua:0.00208089",Pembroke,https://t.co/vvBOcC2VdC
884162670584377345,2017-07-09,Twitter for iPhone,yogi,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,17893,2493,7,2017,9,doggo,1.2,100,"German_shepherd:0.707046,malinois:0.199396,Norwegian_elkhound:0.0491476",German_shepherd,https://t.co/YSI00BzTBZ
883838122936631299,2017-07-09,Twitter for iPhone,noah,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,19086,2849,7,2017,9,,1.2,100,"Doberman:0.610946,miniature_pinscher:0.299603,kelpie:0.0630203",Doberman,https://t.co/V85xujjDDY
883482846933004288,2017-07-08,Twitter for iPhone,bella,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,40049,8231,7,2017,8,,0.5,100,"golden_retriever:0.943082,Labrador_retriever:0.032409,kuvasz:0.00550072",golden_retriever,https://t.co/qjrljjt948
883360690899218434,2017-07-07,Twitter for iPhone,grizzwald,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,19885,3061,7,2017,7,floofer,1.3,100,"chow:0.987997,Tibetan_mastiff:0.00709872,Newfoundland:0.00214033",chow,https://t.co/rf661IFEYP
883117836046086144,2017-07-07,Twitter for iPhone,none,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,32396,5512,7,2017,7,,1.3,100,"golden_retriever:0.949562,Labrador_retriever:0.0459479,kuvasz:0.00247094",golden_retriever,https://t.co/Se5fZ9wp5E
882992080364220416,2017-07-06,Twitter for iPhone,rusty,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,20914,3231,7,2017,6,,1.3,66,"Eskimo_dog:0.4667779999999999,Siberian_husky:0.406044,dingo:0.0734143999999999",Eskimo_dog,https://t.co/tyER0KpdXj
882762694511734784,2017-07-06,Twitter for iPhone,gus,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,24698,4080,7,2017,6,pupper,1.2,100,"Labrador_retriever:0.85005,Chesapeake_Bay_retriever:0.074257,flat-coated_retriever:0.0155793999999999",Labrador_retriever,https://t.co/D43I96SlVu
882627270321602560,2017-07-05,Twitter for iPhone,stanley,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,24521,5046,7,2017,5,,1.3,100,"Pembroke:0.542982,Chihuahua:0.251988,Cardigan:0.107699",Pembroke,https://t.co/Nx52PGwH94
882268110199369728,2017-07-04,Twitter for iPhone,alfy,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,39055,9587,7,2017,4,,1.3,100,"golden_retriever:0.762211,Labrador_retriever:0.0989848999999999,cocker_spaniel:0.0171995",golden_retriever,https://t.co/fYP5RlutfA
882045870035918850,2017-07-04,Twitter for iPhone,koko,https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,25626,4069,7,2017,4,,1.3,33,"web_site:0.949591,dhole:0.0173258,golden_retriever:0.00694063",web_site,https://t.co/zeDpnsKX7w
881906580714921986,2017-07-03,Twitter for iPhone,rey,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,21380,2842,7,2017,3,,1.2,66,"Weimaraner:0.291539,Chesapeake_Bay_retriever:0.278966,koala:0.127017",Weimaraner,https://t.co/503CgWbhxQ
881666595344535552,2017-07-03,Twitter for iPhone,gary,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,44406,8921,7,2017,3,,1.3,100,"Saluki:0.529012,Afghan_hound:0.250003,golden_retriever:0.160739",Saluki,https://t.co/7CSWCl8I6s
881536004380872706,2017-07-02,Twitter for iPhone,None,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,43304,13354,7,2017,2,pupper,1.4,33,"Samoyed:0.281463,Angora:0.272066,Persian_cat:0.114854",Samoyed,https://t.co/ghXBIIeQZF
881268444196462592,2017-07-01,Twitter for iPhone,elliot,https://pbs.twimg.com/media/DDrk-f9WAAI-WQv.jpg,20424,4486,7,2017,1,,1.2,0,"tusker:0.473303,Indian_elephant:0.245646,ibex:0.0556607",tusker,https://t.co/cgwJwowTMC
880935762899988482,2017-06-30,Twitter for iPhone,louis,https://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg,15001,2329,6,2017,30,,1.3,0,"street_sign:0.251801,umbrella:0.115123,traffic_light:0.0695338",street_sign,https://t.co/D0wb1GlKAt
880872448815771648,2017-06-30,Twitter for iPhone,none,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,18652,3193,6,2017,30,,1.2,100,"Pembroke:0.791416,Norwich_terrier:0.0613929,Chihuahua:0.0337257",Pembroke,https://t.co/WiAMbTkDPf
880465832366813184,2017-06-29,Twitter for iPhone,bella,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,24926,5195,6,2017,29,,1.2,100,"golden_retriever:0.913255,Labrador_retriever:0.0263286,cocker_spaniel:0.00937082",golden_retriever,https://t.co/4VsFysDmiw
880221127280381952,2017-06-29,Twitter for iPhone,jesse,https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg,23574,3451,6,2017,29,,1.2,66,"Chihuahua:0.238525,meerkat:0.104256,clumber:0.0525802999999999",Chihuahua,https://t.co/fUod0tVmvK
880095782870896641,2017-06-28,Twitter for iPhone,none,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,24232,3637,6,2017,28,,1.1,100,"miniature_pinscher:0.120298,Rhodesian_ridgeback:0.106395,beagle:0.106073",miniature_pinscher,https://t.co/HauE8M3Bu4
879862464715927552,2017-06-28,Twitter for iPhone,romeo,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,19641,2916,6,2017,28,,1.3,100,"basset:0.813507,beagle:0.146654,cocker_spaniel:0.00948502",basset,https://t.co/Qh5aEkRQm9
879492040517615616,2017-06-27,Twitter for iPhone,bailey,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,20645,2620,6,2017,27,,1.2,66,"German_short-haired_pointer:0.479896,vizsla:0.1243529999999999,bath_towel:0.0733202",German_short-haired_pointer,https://t.co/IxM9IMKQq8
879415818425184262,2017-06-26,Twitter for iPhone,duddles,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,92503,37255,6,2017,26,,1.3,100,"English_springer:0.383404,Boston_bull:0.134967,Cardigan:0.110481",English_springer,https://t.co/UDT7ZkcTgY
879376492567855104,2017-06-26,Twitter for iPhone,jack,https://pbs.twimg.com/media/DDQsQGFV0AAw6u9.jpg,14799,2635,6,2017,26,,1.2,66,"tricycle:0.663601,Labrador_retriever:0.0334961,Pembroke:0.0188266",tricycle,https://t.co/0gOi601EAa
879050749262655488,2017-06-25,Twitter for iPhone,steven,https://pbs.twimg.com/media/DDMD_phXoAQ1qf0.jpg,19751,3938,6,2017,25,,1.1,0,"tabby:0.311861,window_screen:0.169123,Egyptian_cat:0.132932",tabby,https://t.co/2mJCDEJWdD
879008229531029506,2017-06-25,Twitter for iPhone,beau,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,16720,2233,6,2017,25,,1.3,100,"vizsla:0.960513,miniature_pinscher:0.00943065,American_Staffordshire_terrier:0.0087113",vizsla,https://t.co/YDtpCjIPKN
878776093423087618,2017-06-25,Twitter for iPhone,snoopy,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,17071,3422,6,2017,25,puppo,1.3,100,"Italian_greyhound:0.734684,whippet:0.1504869999999999,Ibizan_hound:0.0397246",Italian_greyhound,https://t.co/lNZwgNO4gS
878281511006478336,2017-06-23,Twitter for iPhone,shadow,https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,6759,1071,6,2017,23,,1.3,100,"basset:0.32042,collie:0.215975,Appenzeller:0.1285069999999999",basset,https://t.co/245xJJElsY
878057613040115712,2017-06-23,Twitter for iPhone,emmy,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,37016,5715,6,2017,23,,1.4,100,"French_bulldog:0.839097,Boston_bull:0.0787993999999999,toy_terrier:0.0152433999999999",French_bulldog,https://t.co/cwtWnHMVpe
877736472329191424,2017-06-22,Twitter for iPhone,aja,https://pbs.twimg.com/media/DC5YqoQW0AArOLH.jpg,68970,15740,6,2017,22,,1.3,100,"Chesapeake_Bay_retriever:0.8379559999999999,Labrador_retriever:0.0620342,Weimaraner:0.0405991",Chesapeake_Bay_retriever,https://t.co/lsPyyAiF1r
877611172832227328,2017-06-21,Twitter for iPhone,none,https://pbs.twimg.com/media/DCszHgmW0AAmIpT.jpg,0,70,6,2017,21,pupper,1.4,100,"Irish_setter:0.3647289999999999,golden_retriever:0.202907,Irish_terrier:0.107473",Irish_setter,https://t.co/dJx4Gzc50G
877556246731214848,2017-06-21,Twitter for iPhone,penny,https://pbs.twimg.com/media/DC20wEcW0AAf59m.jpg,19838,3154,6,2017,21,,1.2,66,"basset:0.995368,Welsh_springer_spaniel:0.00193621,bathtub:0.000467919",basset,https://t.co/OYdDlfOGXP
877316821321428993,2017-06-21,Twitter for iPhone,dante,https://pbs.twimg.com/media/DCza_vtXkAQXGpC.jpg,24063,4325,6,2017,21,,1.3,100,"Saluki:0.5099670000000001,Italian_greyhound:0.0904973,golden_retriever:0.0794058",Saluki,https://t.co/SHRTIo5pxc
877201837425926144,2017-06-20,Twitter for iPhone,nelly,https://pbs.twimg.com/media/DCxyahJWsAAddSC.jpg,23789,4607,6,2017,20,,1.2,100,"Pembroke:0.93112,Cardigan:0.0686982,basenji:8.17379e-05",basenji,https://t.co/4g4cfj3P4Y
876838120628539392,2017-06-19,Twitter for iPhone,ginger,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,18163,2795,6,2017,19,pupper,1.2,100,"bloodhound:0.575751,redbone:0.24097,Tibetan_mastiff:0.0889348",bloodhound,https://t.co/j211oCDRs6
876484053909872640,2017-06-18,Twitter for iPhone,benedict,https://pbs.twimg.com/media/DCnll_dUQAAkBdG.jpg,16515,1991,6,2017,18,,1.3,100,"golden_retriever:0.874566,Irish_terrier:0.0373542,chow:0.0167235999999999",golden_retriever,https://t.co/26BXueUgbs
876120275196170240,2017-06-17,Twitter for iPhone,venti,https://pbs.twimg.com/media/DCiavj_UwAAcXep.jpg,24619,3891,6,2017,17,,1.3,100,"Bernese_mountain_dog:0.534327,Saint_Bernard:0.346312,Greater_Swiss_Mountain_dog:0.0949327",Bernese_mountain_dog,https://t.co/ejExJFq3ek
875747767867523072,2017-06-16,Twitter for iPhone,goose,https://pbs.twimg.com/media/DCdH8YpUQAAiEbL.jpg,22036,3566,6,2017,16,,1.3,100,"Labrador_retriever:0.799551,Chesapeake_Bay_retriever:0.179975,vizsla:0.0046176",Labrador_retriever,https://t.co/V2WlACRJCN
875144289856114688,2017-06-15,Twitter for iPhone,nugget,https://pbs.twimg.com/ext_tw_video_thumb/875144175078957056/pu/img/BRi_l7vUdpb93Knf.jpg,19365,4135,6,2017,15,,1.3,66,"Siberian_husky:0.245048,Pembroke:0.223716,dingo:0.160753",Siberian_husky,https://t.co/ogith9ejNj
875021211251597312,2017-06-14,Twitter for iPhone,none,https://pbs.twimg.com/media/DCSzF3NVoAAPzT4.jpg,22492,3956,6,2017,14,,1.2,100,"West_Highland_white_terrier:0.7143189999999999,Siberian_husky:0.0919133,Great_Pyrenees:0.0460381999999999",West_Highland_white_terrier,https://t.co/brCQoqc8AW
874680097055178752,2017-06-13,Twitter for iPhone,cash,https://pbs.twimg.com/media/DCN85nGUwAAzG_q.jpg,24514,3908,6,2017,13,,1.2,100,"Labrador_retriever:0.836052,Staffordshire_bullterrier:0.0470690999999999,beagle:0.0360071",Labrador_retriever,https://t.co/lZhtizkURD
874296783580663808,2017-06-12,Twitter for iPhone,jed,https://pbs.twimg.com/media/DCIgSR0XgAANEOY.jpg,22889,3472,6,2017,12,pupper,1.3,100,"cocker_spaniel:0.437216,miniature_poodle:0.2771909999999999,toy_poodle:0.157402",cocker_spaniel,https://t.co/0YplNnSMEm
874057562936811520,2017-06-12,Twitter for iPhone,none,https://pbs.twimg.com/media/DCFGtdoXkAEsqIw.jpg,20052,3369,6,2017,12,,1.2,100,"flat-coated_retriever:0.8321770000000001,black-and-tan_coonhound:0.0404369,Newfoundland:0.0282283",flat-coated_retriever,https://t.co/pwY9PQhtP2
874012996292530176,2017-06-11,Twitter for iPhone,sebastian,https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg,30028,8557,6,2017,11,puppo,1.3,100,"Cardigan:0.806674,Pembroke:0.116622,kelpie:0.0491819",Cardigan,https://t.co/XBE0evJZ6V
